"full_name",equinox,q,e,i,w,om,tp,epoch,M1,K1,diameter,GM,rot_per,albedo,BV,spec_T
"     C/2010 U3 (Boattini)",J2000,8.445818784114149,1.000854751537623,55.51208440289003,88.06513294078631,43.07283924546797,2458540.622984576288,2457922.5,6.3,6.25,,,,,,
"     P/2010 UH55 (Spacewatch)",J2000,2.767967633769075,.5751342802270648,8.662558273712227,221.6180586378951,235.2643954496181,2455691.861102007529,2455677.5,7.1,18.,,,,,,
"     P/2010 WK (LINEAR)",J2000,1.765178493941443,.6919866306096585,11.47912510856336,40.8499919417121,11.48827491899084,2455489.254028877809,2455583.5,15.7,4.5,,,,,,
"     C/2010 X1 (Elenin)",J2000,.4824207940167428,1.000067251452369,1.83956811421481,343.7981179505746,323.2351474030079,2455815.219747320076,2455651.5,12.6,6.25,,,,,,
"     C/2011 A3 (Gibbs)",J2000,2.344841359159311,.9979938825751231,26.07435262883368,141.1610776277263,124.895271952043,2455911.587845746479,2455749.5,9.9,8.5,,,,,,
"     C/2011 C1 (McNaught)",J2000,.8833783523685972,.9974331783204083,16.8256172380539,84.47350922446758,192.4383668029876,2455669.502204439030,2455666.5,12.7,17.5,,,,,,
"     P/2011 C2 (Gibbs)",J2000,5.388547717622368,.2684718598624878,10.91094365924068,160.563611569923,12.20198083881589,2455934.409309816090,2455845.5,7.1,12.75,,,,,,
"     C/2011 C3 (Gibbs)",J2000,1.516894581976452,.9952743991253196,49.37610702104371,206.809904731103,20.8899634446835,2455659.028082949315,2455636.5,14.1,22.75,,,,,,
"     C/2011 F1 (LINEAR)",J2000,1.818879458128998,1.000042540832777,56.6107679212758,192.5649188491038,85.11890675851191,2456300.536006760915,2456003.5,10.3,4.5,,,,,,
"     P/2011 FR143 (Lemmon)",J2000,3.735424646733953,.4530489663870787,16.01360027644634,349.9169820158194,191.022625980524,2455631.098869155308,2455779.5,14.7,4.5,,,,,,
"     C/2011 G1 (McNaught)",J2000,2.155141635981529,1.0010001746876,162.2334981271972,354.550126456348,152.5909602984702,2455820.912191833669,2455885.5,14.4,5.,,,,,,
"     C/2011 J2 (LINEAR)",J2000,3.443446474818716,1.000504558674218,122.7988226013312,85.29608230378025,163.9475684060354,2456651.805985140500,2456679.5,7.7,7.5,,,,,,
"     C/2011 J2-B (LINEAR)",J2000,3.442848400894227,1.001330781705065,122.8023475103961,85.26719263970504,163.9429873370576,2456651.747036075379,2456936.5,6.9,14.5,,,,,,
"     C/2011 J2-C (LINEAR)",J2000,3.442653441532593,1.0,122.7947263450786,85.27425531831003,163.9521129325959,2456651.689898641151,2456958.5,,,,,,,,
"     C/2011 J3 (LINEAR)",J2000,1.450992227876091,.9258319357568648,114.7123817918573,27.84496409840208,21.51228368098265,2455585.887978679951,2455711.5,16.2,4.5,,,,,,
"     P/2011 JB15 (Spacewatch-Boattini)",J2000,5.018709948932572,.3187358370517921,19.14127272657622,110.926709178121,153.7681804936313,2455948.171123589396,2455721.5,6.9,13.,,,,,,
"     C/2011 K1 (Schwartz-Holvorcem)",J2000,3.376629209638878,1.007027970829694,122.62486475,167.09708095,70.73739296643215,2455673.427628228061,2455715.5,11.7,10.,,,,,,
"     C/2011 KP36 (Spacewatch)",J2000,4.883306631803444,.8728683533707629,18.9867829419102,180.5948736872438,173.4003275212656,2457535.373126921959,2457561.5,7.5,7.,55.100,,,0.101,,
"     C/2011 L1 (McNaught)",J2000,2.242373711221951,.7967985213593568,65.51267762366047,294.4706598268829,252.3638461023042,2455548.802045094742,2455734.5,10.4,12.5,,,,,,
"     C/2011 L2 (McNaught)",J2000,1.943448904548063,1.001772573495169,104.2574261261314,257.0281276952634,131.3477253936223,2455866.773125741211,2455812.5,11.8,13.,,,,,,
"     C/2011 L3 (McNaught)",J2000,1.923845534598865,1.000101676263677,87.11442266015185,27.72702943918406,307.7552007754244,2455784.000434367806,2455778.5,14.7,4.5,,,,,,
"     C/2011 L4 (PANSTARRS)",J2000,.3015442238164768,1.000032767108972,84.20819702923397,333.6516376633611,65.66588639150341,2456361.669960002417,2456365.5,7.8,6.5,,,,,,
"     C/2011 L6 (Boattini)",J2000,6.787628639215751,1.003737758104043,171.4562474433502,331.5987257996812,214.4826575429092,2455584.289693516269,2455793.5,13.2,4.5,,,,,,
"     C/2011 M1 (LINEAR)",J2000,.8957526051155204,1.002674264300668,70.18317197361739,119.568946668613,324.7956733500447,2455812.072466690747,2455744.5,12.3,18.25,,,,,,
"     P/2011 N1 (ASH)",J2000,2.857717480375384,.5459461023265804,35.66888367032587,331.0561884672269,77.69050998736151,2456078.786516225039,2455925.5,12.8,5.25,,,,,,
"     P/2011 NO1 (Elenin)",J2000,1.240707749658369,.7788022782312158,15.39723971579826,263.6225529882331,295.8087619875522,2460435.823524242017,2459142.5,13.2,16.25,,,,,,
"     C/2011 N2 (McNaught)",J2000,2.563359894667371,.9997033297941526,33.67502507449191,357.0414130407124,274.0190324563712,2455853.242820885998,2455767.5,7.1,21.25,,,,,,
"     C/2011 N3 (SOHO)",J2000,.005310329843512392,1.000271255920924,144.4434282960196,85.04573901047411,6.431114815952422,2455748.502063573189,2455747.5,,,,,,,,
"     C/2011 O1 (LINEAR)",J2000,3.890652677082244,.9967843041955771,76.49888598673195,232.3825977424196,89.81681151984263,2456157.970816860350,2456169.5,7.5,9.5,,,,,,
"     P/2011 P1 (McNaught)",J2000,4.9521645154826,.3668859289765082,6.308802950287827,342.1198080249332,10.08177403010324,2455401.667290010537,2455793.5,6.8,11.5,,,,,,
"     C/2011 P2 (PANSTARRS)",J2000,6.148104958574098,.369819231884631,8.989635670048697,76.38463321861438,204.0185248369797,2455453.014389939974,2455966.5,6.7,12.,,,,,,
"     C/2011 Q1 (PANSTARRS)",J2000,6.780085405768498,.9979126544659841,94.86201443804366,135.9264482236275,142.2439066896546,2455741.954881000737,2455825.5,7.5,10.,,,,,,
"     C/2011 Q2 (McNaught)",J2000,1.349560902203217,1.000074961854828,36.86657639635956,34.62856985816699,287.3695262596481,2455946.288493365445,2455820.5,4.7,23.25,,,,,,
"     C/2011 Q4 (SWAN)",J2000,1.112227416706415,.974158227443668,147.8430700500252,1.880850387483179,252.0857091205893,2455825.583455141839,2455870.5,11.7,9.25,,,,,,
"     C/2011 R1 (McNaught)",J2000,2.07957108377623,1.00074116581749,116.1968421515487,308.861191719694,221.4084577921081,2456220.120931479985,2456224.5,9.9,6.,,,,,,
"     P/2011 S1 (Gibbs)",J2000,6.894033706346912,.2031522426417438,2.679391361807641,193.3674512733237,218.8958914865213,2456893.530614058359,2456448.5,7.1,11.,,,,,,
"     C/2011 S2 (Kowalski)",J2000,1.115120350025716,.9316148499421462,17.57253785793546,192.1899849795159,288.0703246751929,2455860.847765786202,2455857.5,15.6,4.5,,,,,,
"     C/2011 U3 (PANSTARRS)",J2000,1.071437247480918,1.000449228774744,116.7759557054995,287.8238931135182,228.3789198430203,2456082.396106973054,2455873.5,11.8,14.5,,,,,,
"     P/2011 UA134 (Spacewatch-PANSTARRS)",J2000,2.051509997031235,.6327008112046073,10.53949438836599,32.32197937519727,40.63821959388974,2455902.694251589549,2455886.5,15.7,10.,,,,,,
"     C/2011 UF305 (LINEAR)",J2000,2.138211981833665,1.000674103519054,93.96074438890552,121.9944825257625,297.4358691551147,2456130.665405569240,2456194.5,6.6,15.5,,,,,,
"     P/2011 V1 (Boattini)",J2000,1.709343677035637,.5553207244654597,7.397716777507027,259.5442533260744,60.084820210211,2455693.423381219698,2455866.5,17.7,4.5,,,,,,
"     P/2011 W1 (PANSTARRS)",J2000,3.312060743982322,.2886515598754274,3.718612751134682,282.4728480997156,161.8837154125267,2455949.039175041388,2455934.5,7.3,19.,,,,,,
"     C/2011 W3 (Lovejoy)",J2000,.005553814151232848,.9999294152687143,134.3558107377023,53.50921241435645,326.3691470244605,2455911.511809000032,2455901.5,15.3,9.3,,,,,,
"     P/2011 Y2 (Boattini)",J2000,1.787147805365588,.7129204468767503,6.351398892805054,131.1876136876323,310.0183882902152,2456008.196009398791,2455923.5,13.6,16.25,,,,,,
"     C/2011 Y3 (Boattini)",J2000,3.497843193107734,.7049148254644865,26.51685373785763,340.6799065742463,84.80260480082671,2455796.438668997572,2455927.5,11.7,10.,,,,,,
"     C/2012 A1 (PANSTARRS)",J2000,7.604434452614377,1.001194957692109,120.9000173923967,191.7586959021335,277.9720387449908,2456626.139626720299,2456287.5,10.1,5.25,,,,,,
"     C/2012 A2 (LINEAR)",J2000,3.537474521666916,.9963877725497086,125.8684773041127,101.6720433046215,191.4047721428131,2456236.600841314246,2456263.5,10.6,5.5,,,,,,
"     P/2012 B1 (PANSTARRS)",J2000,3.825152518914078,.4105035782433858,7.627783828454611,162.1830074531848,36.1941831685487,2456496.643722741155,2456328.5,6.4,12.75,,,,,,
"     C/2012 B3 (La Sagra)",J2000,3.536536414914726,1.001183364923015,106.9329153015011,50.73326108789811,252.9994940349564,2455902.334714847145,2456018.5,13.4,4.5,,,,,,
"     C/2012 BJ98 (Lemmon)",J2000,2.15657774250929,.8736495875635185,2.636891990126354,72.96983048833226,124.0317461903936,2456190.935923559688,2456027.5,8.0,19.25,,,,,,
"     C/2012 C1 (McNaught)",J2000,4.837975154766315,.9962058321457286,96.2777092518686,279.8891505012245,300.6399259612749,2456328.022491328693,2456236.5,6.7,11.25,,,,,,
"     C/2012 C2 (Bruenjes)",J2000,.8023137706433678,1.003077829586966,162.7892307787573,62.65860349207035,117.9966890339537,2455999.141810725676,2455974.5,16.6,37.75,,,,,,
"     P/2012 C3 (PANSTARRS)",J2000,3.624891488598848,.626527172629985,9.189868050182183,344.8516122270328,135.4412675874763,2455839.915960047911,2455974.5,13.5,10.,,,,,,
"     C/2012 CH17 (MOSS)",J2000,1.296093483069156,.9999881805608714,27.74419206731434,137.9935516752915,125.9847154706221,2456198.722560725326,2456023.5,14.0,4.5,,,,,,
"     C/2012 E1 (Hill)",J2000,7.502903883059695,.998012849590497,122.5420184092779,48.88731357943042,286.3196423018894,2455746.546131823108,2456043.5,6.9,9.75,,,,,,
"     C/2012 E2 (SWAN)",J2000,.006961609332190363,1.000491306930326,144.430740514462,82.41229437495095,6.576461397899894,2456001.529065287965,2455999.5,,,,,,,,
"     C/2012 E3 (PANSTARRS)",J2000,3.827318559353372,.9827149050986322,105.6586084481255,103.515421946193,5.530997824829866,2455694.420397260472,2456015.5,9.9,10.,,,,,,
"     C/2012 F1 (Gibbs)",J2000,2.550933607818484,.9657066951325476,159.3968325987302,300.4253992488747,129.9654975442234,2455976.590042322372,2456008.5,13.8,10.,,,,,,
"     P/2012 F2 (PANSTARRS)",J2000,2.897067593860656,.5422397548673589,14.72469123202542,33.19284004876128,227.1351640056861,2456392.515520287442,2456292.5,12.0,8.,,,,,,
"     C/2012 F3 (PANSTARRS)",J2000,3.45693941739493,1.00163676179241,11.35469753212712,104.0205141177845,164.617309024508,2457119.197421338797,2456988.5,8.1,7.5,,,,,,
