name,asciiname,latitude,longitude,country code,admin1 code,population,elevation,timezone,admin1_name,daylight_saving,timezone_raw_offset
Magdeburg,Magdeburg,52.12773,11.62916,DE,14,229826,,Europe/Berlin,Saxony-Anhalt,1,1.0
Ludwigshafen am Rhein,Ludwigshafen am Rhein,49.48121,8.44641,DE,08,163196,,Europe/Berlin,Rheinland-Pfalz,1,1.0
Lübeck,Luebeck,53.86893,10.68729,DE,10,212207,,Europe/Berlin,Schleswig-Holstein,1,1.0
Leverkusen,Leverkusen,51.0303,6.98432,DE,07,162738,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Leipzig,Leipzig,51.33962,12.37129,DE,13,504971,,Europe/Berlin,Saxony,1,1.0
Kreuzberg,Bezirk Kreuzberg,52.49973,13.40338,DE,16,147532,,Europe/Berlin,Berlin,1,1.0
Krefeld,Krefeld,51.33645,6.55381,DE,07,237984,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Köln,Koeln,50.93333,6.95,DE,07,963395,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Koblenz,Koblenz,50.35357,7.57883,DE,08,107319,,Europe/Berlin,Rheinland-Pfalz,1,1.0
Kiel,Kiel,54.32133,10.13489,DE,10,232758,,Europe/Berlin,Schleswig-Holstein,1,1.0
Kassel,Kassel,51.31667,9.5,DE,05,194501,,Europe/Berlin,Hesse,1,1.0
Karlsruhe,Karlsruhe,49.00937,8.40444,DE,01,283799,,Europe/Berlin,Baden-Wuerttemberg,1,1.0
Jena,Jena,50.92878,11.5899,DE,15,104712,,Europe/Berlin,Thuringia,1,1.0
Ingolstadt,Ingolstadt,48.76508,11.42372,DE,02,120658,,Europe/Berlin,Bavaria,1,1.0
Hildesheim,Hildesheim,52.15077,9.95112,DE,06,103052,93,Europe/Berlin,Lower Saxony,1,1.0
Herne,Herne,51.5388,7.22572,DE,07,172108,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Heilbronn,Heilbronn,49.13995,9.22054,DE,01,120733,,Europe/Berlin,Baden-Wuerttemberg,1,1.0
Heidelberg,Heidelberg,49.40768,8.69079,DE,01,143345,,Europe/Berlin,Baden-Wuerttemberg,1,1.0
Harburg,Harburg,53.46057,9.98388,DE,04,202571,,Europe/Berlin,Hamburg,1,1.0
Hannover,Hannover,52.37052,9.73322,DE,06,515140,,Europe/Berlin,Lower Saxony,1,1.0
Hamm,Hamm,51.68033,7.82089,DE,07,185327,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Wandsbek,Wandsbek,53.58334,10.08305,DE,04,411422,,Europe/Berlin,Hamburg,1,1.0
Marienthal,Marienthal,53.56667,10.08333,DE,04,287101,,Europe/Berlin,Hamburg,1,1.0
Hamburg-Mitte,Hamburg-Mitte,53.55,10.01667,DE,04,233144,,Europe/Berlin,Hamburg,1,1.0
Eimsbüttel,Eimsbuettel,53.57416,9.95679,DE,04,251907,,Europe/Berlin,Hamburg,1,1.0
Altona,Altona,53.55,9.93333,DE,04,250192,,Europe/Berlin,Hamburg,1,1.0
Hamburg,Hamburg,53.55073,9.99302,DE,04,1739117,,Europe/Berlin,Hamburg,1,1.0
Halle (Saale),Halle (Saale),51.48158,11.97947,DE,14,234107,,Europe/Berlin,Saxony-Anhalt,1,1.0
Hagen,Hagen,51.36081,7.47168,DE,07,198972,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Göttingen,Goettingen,51.53443,9.93228,DE,06,122149,,Europe/Berlin,Lower Saxony,1,1.0
Gera,Gera,50.88029,12.08187,DE,15,104659,,Europe/Berlin,Thuringia,1,1.0
Gelsenkirchen,Gelsenkirchen,51.50508,7.09654,DE,07,270028,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Fürth,Furth,49.47593,10.98856,DE,02,112025,,Europe/Berlin,Bavaria,1,1.0
Friedrichshain,Friedrichshain Bezirk,52.51559,13.45482,DE,16,117829,,Europe/Berlin,Berlin,1,1.0
Freiburg,Freiburg,47.9959,7.85222,DE,01,215966,278,Europe/Berlin,Baden-Wuerttemberg,1,1.0
Frankfurt am Main,Frankfurt am Main,50.11552,8.68417,DE,05,650000,,Europe/Berlin,Hesse,1,1.0
Essen,Essen,51.45657,7.01228,DE,07,593085,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Erlangen,Erlangen,49.59099,11.00783,DE,02,102675,,Europe/Berlin,Bavaria,1,1.0
Erfurt,Erfurt,50.9787,11.03283,DE,15,203254,,Europe/Berlin,Thuringia,1,1.0
Düsseldorf,Duesseldorf,51.22172,6.77616,DE,07,573057,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Duisburg,Duisburg,51.43247,6.76516,DE,07,504358,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Dresden,Dresden,51.05089,13.73832,DE,13,486854,,Europe/Berlin,Saxony,1,1.0
Dortmund,Dortmund,51.51494,7.466,DE,07,588462,,Europe/Berlin,North Rhine-Westphalia,1,1.0
Darmstadt,Darmstadt,49.87167,8.65027,DE,05,140385,,Europe/Berlin,Hesse,1,1.0
Chemnitz,Chemnitz,50.8357,12.92922,DE,13,247220,,Europe/Berlin,Saxony,1,1.0
Charlottenburg,Charlottenburg Bezirk,52.51667,13.28333,DE,16,119857,,Europe/Berlin,Berlin,1,1.0
Bremerhaven,Bremerhaven,53.53615,8.59298,DE,03,117446,,Europe/Berlin,Bremen,1,1.0
Bremen,Bremen,53.07582,8.80717,DE,03,546501,,Europe/Berlin,Bremen,1,1.0
Braunschweig,Braunschweig,52.26594,10.52673,DE,06,244715,,Europe/Berlin,Lower Saxony,1,1.0
Bottrop,Bottrop,51.52392,6.9285,DE,07,119909,,Europe/Berlin,North Rhine-Westphalia,1,1.0
