Type,q,e,i,w,N,M,n,wrate,Nrate,RA,Dec,Epoch,H,G,Radius,Mass,Rotation,Albedo,NAIF ID,Name
MN,13128063,0.3370,164.70,88.10,306.00,10.90,0.338101,1.809045,1.084991,270.000,66.561,2451545.0,15.9,,2.0,3.40000E+13,1040.390,,65086,S/2004 S 12
MN,13563470,0.2650,169.00,355.40,217.80,51.90,0.377639,1.626751,0.907945,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,936.089,,65087,S/2004 S 13
MN,16507762,0.1620,167.90,184.50,12.50,227.60,0.341458,1.727447,0.922367,270.000,66.561,2451545.0,16.0,,2.0,3.40000E+13,1032.369,,65088,S/2004 S 17
MN,16777939,0.1050,156.10,159.70,333.60,86.30,0.370050,1.293568,0.754085,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,958.324,,65089,S/2006 S 1
MN,12128561,0.4320,156.10,191.60,213.30,125.30,0.300218,1.893740,1.316752,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,1165.019,,65090,S/2006 S 3
MN,12241229,0.2320,174.00,46.40,107.30,10.00,0.473655,1.305294,0.701618,270.000,66.561,2451545.0,15.6,,2.5,6.50000E+13,751.331,,65091,S/2007 S 2
MN,16672240,0.1500,173.80,323.10,99.30,304.50,0.343722,1.745878,0.905205,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,1025.699,,65092,S/2007 S 3
MN,6938412,0.3830,49.50,86.60,185.60,36.50,0.807091,0.256611,0.323799,270.000,66.561,2451545.0,15.3,,2.5,1.10000E+14,445.170,,65093,S/2019 S 1
MN,11939976,0.2790,173.30,103.20,95.30,185.10,0.446488,1.401323,0.775361,270.000,66.561,2451545.0,16.5,,1.5,1.40000E+13,795.672,,65094,S/2019 S 2
MN,12842205,0.2480,166.90,129.20,243.90,150.30,0.426187,1.378782,0.771373,270.000,66.561,2451545.0,16.2,,2.0,3.40000E+13,833.192,,65095,S/2019 S 3
MN,7517492,0.3370,48.20,73.20,161.70,2.10,0.797020,0.271227,0.316762,270.000,66.561,2451545.0,15.9,,2.0,3.40000E+13,450.772,,65096,S/2020 S 1
MN,15152912,0.1520,170.70,130.70,96.20,19.20,0.397396,1.498751,0.786198,270.000,66.561,2451545.0,16.9,,1.5,1.40000E+13,891.858,,65097,S/2020 S 2
MN,11301147,0.2970,169.20,127.50,37.90,291.40,0.467268,1.349325,0.767100,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,760.999,,65098,S/2004 S 40
MN,10819432,0.2490,173.00,341.90,36.00,65.20,0.552905,1.120100,0.609446,270.000,66.561,2451545.0,16.5,,1.5,1.40000E+13,645.577,,65100,S/2006 S 9
MN,14188698,0.1040,158.40,44.40,128.90,23.20,0.479287,1.067616,0.605347,270.000,66.561,2451545.0,16.2,,2.0,3.40000E+13,744.006,,65101,S/2007 S 5
MN,15492734,0.1420,46.00,317.60,216.80,135.80,0.394341,0.562324,0.562676,270.000,66.561,2451545.0,16.4,,1.5,1.40000E+13,905.841,,65102,S/2020 S 3
MN,10627525,0.4080,170.10,247.00,301.40,217.80,0.393385,1.690935,1.036269,270.000,66.561,2451545.0,16.5,,1.5,1.40000E+13,898.089,,65103,S/2019 S 4
MN,12648685,0.3010,165.70,232.60,43.60,343.60,0.389316,1.563858,0.909091,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,908.892,,65104,S/2004 S 41
MN,9191146,0.4960,40.10,157.70,67.80,178.70,0.386102,1.006149,0.969044,270.000,66.561,2451545.0,17.0,,1.5,1.40000E+13,919.517,,65105,S/2020 S 4
MN,14344980,0.2200,48.20,285.70,214.90,232.00,0.383553,0.524170,0.589681,270.000,66.561,2451545.0,16.6,,1.5,1.40000E+13,931.189,,65106,S/2020 S 5
MN,15429440,0.1680,166.50,19.20,324.10,347.80,0.375188,1.561145,0.842499,270.000,66.561,2451545.0,16.4,,1.5,1.40000E+13,942.979,,65107,S/2007 S 6
MN,15358669,0.1580,165.70,107.20,3.90,325.20,0.385092,1.484536,0.802318,270.000,66.561,2451545.0,16.1,,2.0,3.40000E+13,919.885,,65108,S/2004 S 42
MN,16113935,0.1510,161.60,79.70,350.80,173.50,0.362491,1.462226,0.813927,270.000,66.561,2451545.0,16.4,,1.5,1.40000E+13,976.344,,65109,S/2006 S 10
MN,14966638,0.2160,158.80,321.50,271.10,59.40,0.359265,1.440576,0.847657,270.000,66.561,2451545.0,16.7,,1.5,1.40000E+13,984.872,,65110,S/2019 S 5
MN,10755478,0.4320,171.10,234.00,191.90,14.50,0.361899,1.834862,1.140684,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,972.853,,65111,S/2004 S 43
MN,16997913,0.1290,167.70,176.40,39.50,292.80,0.346792,1.642336,0.867679,270.000,66.561,2451545.0,15.8,,2.5,6.50000E+13,1017.915,,65112,S/2004 S 44
MN,8842471,0.5510,154.00,350.60,306.00,75.70,0.340544,1.708590,1.337793,270.000,66.561,2451545.0,16.0,,2.0,3.40000E+13,1031.860,,65113,S/2004 S 45
MN,16893098,0.1430,174.10,159.90,254.40,353.10,0.340875,1.807229,0.934337,270.000,66.561,2451545.0,16.5,,1.5,1.40000E+13,1033.352,,65114,S/2006 S 11
MN,8963197,0.5420,38.60,78.10,155.10,249.60,0.345539,1.232455,1.182654,270.000,66.561,2451545.0,16.2,,2.0,3.40000E+13,1022.287,,65115,S/2006 S 12
MN,16020928,0.1200,46.40,286.90,154.20,185.70,0.389509,0.550459,0.556414,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,917.106,,65116,S/2019 S 6
MN,13707917,0.3130,162.00,254.70,44.40,248.50,0.334806,1.662818,1.002227,270.000,66.561,2451545.0,16.1,,2.0,3.40000E+13,1052.316,,65117,S/2006 S 13
MN,15481972,0.2330,174.20,6.30,226.60,336.00,0.328521,1.823708,0.980125,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,1070.801,,65118,S/2019 S 7
MN,13978019,0.3110,172.80,144.60,168.60,31.80,0.325438,1.924105,1.088271,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,1078.860,,65119,S/2019 S 8
MN,11543950,0.4330,159.50,316.40,114.20,244.70,0.323221,1.899736,1.275239,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,1084.619,,65120,S/2019 S 9
MN,15405864,0.2490,177.20,298.10,281.10,209.20,0.320093,1.916933,1.033592,270.000,66.561,2451545.0,16.4,,1.5,1.40000E+13,1096.988,,65121,S/2004 S 46
MN,15566626,0.2480,163.90,352.90,274.70,149.50,0.316170,1.761252,1.005025,270.000,66.561,2451545.0,16.7,,1.5,1.40000E+13,1111.992,,65122,S/2019 S 10
MN,11379946,0.2910,160.90,295.40,294.80,25.20,0.468874,1.209271,0.725368,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,759.220,,65123,S/2004 S 47
MN,10063465,0.5130,144.60,28.20,327.60,190.50,0.317047,1.465201,1.288014,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,1109.110,,65124,S/2019 S 11
MN,19798562,0.0600,166.70,136.10,274.40,264.70,0.307812,1.828339,0.956938,270.000,66.561,2451545.0,16.5,,1.5,1.40000E+13,1141.271,,65125,S/2006 S 14
MN,10948980,0.4760,167.10,240.20,324.70,221.10,0.309680,2.112676,1.387283,270.000,66.561,2451545.0,16.3,,2.0,3.40000E+13,1127.599,,65126,S/2019 S 12
MN,11051716,0.4800,166.90,27.90,7.00,271.20,0.300736,2.303263,1.518987,270.000,66.561,2451545.0,16.6,,1.5,1.40000E+13,1156.811,,65127,S/2020 S 6
MN,14297789,0.3180,177.30,219.80,302.50,138.50,0.308875,2.054795,1.156069,270.000,66.561,2451545.0,16.7,,1.5,1.40000E+13,1133.265,,65128,S/2019 S 13
MN,7757283,0.3150,48.00,107.10,169.40,247.10,0.798546,0.269845,0.310051,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,449.925,,65129,S/2005 S 4
MN,12474443,0.2170,169.30,149.60,3.80,63.40,0.474109,1.273885,0.692042,270.000,66.561,2451545.0,16.2,,2.0,3.40000E+13,750.796,,65130,S/2007 S 7
MN,8694939,0.4900,36.20,258.70,202.20,6.30,0.427879,1.014942,0.893079,270.000,66.561,2451545.0,16.0,,2.0,3.40000E+13,831.211,,65131,S/2007 S 8
