Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Feature_Type_Code,Origin,
"Caduceata","Caduceata","Mercury",0,45,225,AL,"Albedo name for H-3, Shakespeare region.",
"Caesar","Caesar","Oberon",76,-26.6,61.1,AA,"Shakespearean hero in ""Julius Caesar.""",
"Caesonia","Caesonia","Vesta",104.23,31.2,249.93,AA,"Atia Balba Caesonia; Roman noblewoman, daughter of Julius Ceasar’s sister, mother of Emperor Augustus (85-43 B.C.).",
"Cagli","Cagli","Mars",28.16,4.73,356.45,AA,"Town in Italy.",
"Cahokia Vallis","Cahokia Vallis","Mercury",77,65.55,126.94,VA,"Cahokia Mounds, ancient city in southern Illinois, USA.",
"Caieta","Caieta","Dione",50,-24.71,280.37,AA,"A nurse of Aeneas.",
"Cailleach Corona","Cailleach Corona","Venus",125,-48,88.3,CR,"Scottish Celtic fertility goddess.",
"Cailleux","Cailleux","Moon",52.85,-60.41,153.5,AA,"Andre; French geologist (1907-1986).",
"Cai Lun","Cai Lun","Moon",44.89,80.12,113.66,AA,"Chinese inventor (c. 57-121).",
"Cairns","Cairns","Mars",8.73,23.56,312.54,AA,"Town in Australia.",
"Cairo Sulcus","Cairo Sulcus","Enceladus",165,-81.62,205.52,SU,"City in the ""Tale of Nur Al-Din Ali and his son Badr Al-Din Hassan.""  ",
"Caitlin","Caitlin","Venus",14.7,-65.3,12,AA,"Welsh first name.",
"Caiwenji","Caiwenji","Venus",22.6,-12.4,287.6,AA,"Chinese painter, calligrapher (907-960).",
"Cajal","Cajal","Moon",8.57,12.59,31.08,AA,"Santiago Ramon Y; Spanish doctor; Nobel laureate (1852-1934).",
"Cajori","Cajori","Moon",74.65,-47.67,168.7,AA,"Florian; American mathematician (1859-1930).",
"Cajori K","Cajori K","Moon",30.64,-49.29,169.62,SF,"Florian; American mathematician (1859-1930).",
"Caladan Planitia","Caladan Planitia","Titan",2800,31,134,PL,"Planet from the Dune series; the original home of the House Atriedes, a fictional noble family.",
"Calahorra","Calahorra","Mars",34.22,26.46,321.35,AA,"Town in Spain.",
"Calais","Calais","Phoebe",31,-38.7,134.6,AA,"Argonaut, son of Boreas, the north wind.",
"Calakomana Corona","Calakomana Corona","Venus",575,6.5,43.5,CR,"Pueblo Indian corn goddess.",
"Calamar","Calamar","Mars",7.21,18.27,305.13,AA,"Town in Colombia.",
"Calbe","Calbe","Mars",13.14,-25.14,331.13,AA,"Town in Germany.",
"Calder","Calder","Mercury",24,3.51,12.75,AA,"Alexander; American sculptor (1898-1976).",
"Caldwell","Caldwell","Venus",51,23.6,112.4,AA,"Taylor; American author (1900-1985).",
"Caleuche Chasma","Caleuche Chasma","Charon",400,72.5,241.8,CM,"Chilote (southern Chile) legendary, sentient ghost ship, which could suddenly appear and then quickly disappears again, leaving no evidence of its presence.",
"Calippus","Calippus","Moon",34.03,38.92,10.72,AA,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus A","Calippus A","Moon",15.72,37.06,7.87,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus B","Calippus B","Moon",7.21,36.08,10.07,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus C","Calippus C","Moon",37.69,39.43,9.16,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus D","Calippus D","Moon",3.99,36.38,11.31,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus E","Calippus E","Moon",4.82,38.92,11.89,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus F","Calippus F","Moon",6.75,40.58,10,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calippus G","Calippus G","Moon",3.78,41.3,11.55,SF,"Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).",
"Calistoga","Calistoga","Gaspra",1.2,30,358,AA,"Resort in California, USA.",
"Callanish","Callanish","Europa",107,-16.7,25.5,LG,"Stone circle in the Outer Hebrides, Scotland.",
"Callas","Callas","Venus",33.8,2.4,27,AA,"Maria; American opera singer (1923-1977).",
"Callicrates","Callicrates","Mercury",68,-66.51,329.63,AA,"Greek architect (5th century B.C.).",
"Callirhoe","Callirhoe","Venus",33.8,21.2,140.7,AA,"Greek sculptor (c. 600 B.C.).",
"Caloris Montes","Caloris Montes","Mercury",1023,31.46,185.85,MO,"""Hot mountains""; surface temperature hottest near this position.",
"Caloris Planitia","Caloris Planitia","Mercury",1500,31.65,161.98,PL,"""Hot plain""; surface temperature hottest near this position.",
"Calphurnia","Calphurnia","Titania",100,-42.4,291.4,AA,"Wife of Julius Caesar.",
"Calpurnia","Calpurnia","Vesta",50.19,16.72,349.1,AA,"Roman vestal virgin (c. 3rd century).",
"Calvino","Calvino","Mercury",67,-3.99,303.97,AA,"Italo; Italian writer (1923-1985).",
"Calydon Fossa","Calydon Fossa","Mars",351.25,-7.43,272.02,FO,"The son of Ares and Astynome.",
"Calypso Rupes","Calypso Rupes","Mercury",381,19.53,43.52,RU,"French; originally commissioned in 1942 as a minesweeper, Calypso was purchased by Jacques-Yves Cousteau and used for oceanographic studies in 1950-1996.",
"Camargo","Camargo","Mars",4.77,17.7,109.64,AA,"Town in Bolivia.",
"Camaxtli Patera","Camaxtli Patera","Io",55.99,15.28,223.2,PE,"Aztec thunder, tornado, and war god.",
"Camelot","Camelot","Moon",0.61,20.19,30.73,LF,"Astronaut-named feature, Apollo 17 site.",
"Camelot Chasma","Camelot Chasma","Mimas",150,-43,336.6,CM,"Home of the Round Table assemblage.",
"Cameron","Cameron","Moon",10.91,6.19,45.93,AA,"Robert Curry; American astronomer (1925-1972).",
"Camichel","Camichel","Mars",65.26,2.26,308.39,AA,"Henri; French astronomer (1907-2003).",
"Camiling","Camiling","Mars",21.91,-0.71,322,AA,"Town in the Philippines.",
"Camilla","Camilla","Dione",31.9,-4.36,299.39,AA,"A warrior maiden; ally of Turnus.",
"Camiri","Camiri","Mars",31.36,-44.65,317.83,AA,"Town in Bolivia.",
"Camões","Camoes","Mercury",70,-71.42,291.61,AA,"Luiz (Vas) de; Portuguese poet (c. 1524-1580).",
"Campanus","Campanus","Moon",46.41,-28.04,332.1,AA,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campanus A","Campanus A","Moon",11.14,-25.99,331.33,SF,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campanus B","Campanus B","Moon",5.85,-29.32,330.76,SF,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campanus G","Campanus G","Moon",8.22,-28.66,328.64,SF,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campanus K","Campanus K","Moon",4.76,-26.7,331.58,SF,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campanus X","Campanus X","Moon",3.13,-27.84,332.59,SF,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campanus Y","Campanus Y","Moon",4.39,-27.88,331.78,SF,"Campanus of Navara; Italian astronomer (c. 1200-1296).",
"Campbell","Campbell","Mars",125.26,-54.25,165.58,AA,"John W.; Canadian physicist (1889-1955). William W.; American astronomer (1862-1938).",
"Campbell","Campbell","Moon",222.48,45.57,152.91,AA,"Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).",
"Campbell A","Campbell A","Moon",21.23,51.76,154.43,SF,"Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).",
"Campbell E","Campbell E","Moon",14.9,46.33,158.89,SF,"Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).",
"Campbell N","Campbell N","Moon",22.24,43.2,152.16,SF,"Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).",
"Campbell X","Campbell X","Moon",23.34,47.73,149.61,SF,"Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).",
"Campbell Z","Campbell Z","Moon",23.78,48.58,153,SF,"Leon; American astronomer (1881-1951); William Wallace; American astronomer (1862-1938).",
"Camphor Sulcus","Camphor Sulcus","Enceladus",77,-70.78,210.6,SU,"Islands in the ""Tale of Aziz and Azizah."" ",
"Campos","Campos","Mars",8.25,-21.8,332.19,AA,"Town in Brazil.",
"Camulatz Saxum","Camulatz Saxum","Bennu",0.02,-10.26,259.65,SA,"One of four birds which destructed the first race of people carved out of wood in Kʼicheʼ Maya (Guatemala) creation myth.",
"Camulus","Camulus","Europa",4.5,-26.5,278.9,AA,"Gaelic war god.",
"Can","Can","Mars",8.62,48.21,345.41,AA,"Town in Turkey.",
"Canala","Canala","Mars",12,24.35,279.92,AA,"Town in New Caledonia.",
"Cañas","Canas","Mars",41.52,-31.19,89.86,AA,"Town in Puerto Rico.",
"Canaveral","Canaveral","Mars",3.18,46.83,135.83,AA,"American launch site.",
"Canberra","Canberra","Mars",3.1,47.2,132.66,AA,"Australian tracking site.",
"Candor","Candor","Mars",0,2.96,285,AL,"Means ""Blaze"" or ""White"" in Latin.",
"Candor Chaos","Candor Chaos","Mars",0,-6.94,287.42,CH,"From albedo feature at 5N, 75W.",
"Candor Chasma","Candor Chasma","Mars",810.61,-6.53,289.22,CM,"Classical albedo feature name.",
"Candor Colles","Candor Colles","Mars",37.38,-6.63,284.43,CO,"Classical albedo feature name.",
"Candor Labes","Candor Labes","Mars",134.94,-4.79,284.01,LA,"From classical albedo feature at 5N, 75W.",
"Candor Mensa","Candor Mensa","Mars",116.56,-6.26,286.48,MN,"Classical albedo feature.",
"Candor Sulci","Candor Sulci","Mars",73.36,-4.92,283.15,SU,"Classical albedo feature name.",
"Cangwu","Cangwu","Mars",13.64,41.85,270.41,AA,"Town in China.",
"Canillo","Canillo","Mars",33.93,10.23,116.48,AA,"Town in Andorra. ",
"Cankuzo","Cankuzo","Mars",48.45,-19.42,52.03,AA,"Town in Burundi.",
"Cannizzaro","Cannizzaro","Moon",54.51,55.5,260.27,AA,"Stanislao; Italian chemist (1826-1910).",
"Cannon","Cannon","Moon",57.58,19.88,81.36,AA,"Annie Jump; American astronomer (1863-1941).",
"Cannon B","Cannon B","Moon",38.78,17.54,80.05,SF,"Annie Jump; American astronomer (1863-1941).",
"Cannon E","Cannon E","Moon",25.87,19.27,78.99,SF,"Annie Jump; American astronomer (1863-1941).",
"Cannutia","Cannutia","Vesta",17.97,-58.93,214.73,AA,"Roman vestal virgin (c. 213).",
"Canova","Canova","Mercury",46,25.6,356.29,AA,"Antonio, marchese d’Ischia; Italian sculptor (1757-1822).",
"Canso","Canso","Mars",26.42,21.36,299.38,AA,"Town in Nova Scotia, Canada.",
"Canthus","Canthus","Phoebe",44,-69.6,17.8,AA,"Argonaut, son of Kanethos or Cerion, the only member of the expedition to die in combat.",
"Cantor","Cantor","Moon",75.72,38.04,118.69,AA,"Georg; German mathematician (1845-1918); Moritz; German mathematician (1829-1920).",
"Cantor C","Cantor C","Moon",21.48,39.32,120.47,SF,"Georg; German mathematician (1845-1918); Moritz; German mathematician (1829-1920).",
"Cantor T","Cantor T","Moon",22.41,38.07,113.58,SF,"Georg; German mathematician (1845-1918); Moritz; German mathematician (1829-1920).",
"Cantoura","Cantoura","Mars",51.59,14.84,308.28,AA,"Town in Venezuela.",
"Canuleia","Canuleia","Vesta",11.32,-33.62,84.52,AA,"One of the first Roman vestal virgins.",
"Capaneus Mensa","Capaneus Mensa","Io",288.08,-16.82,238.6,MN,"The great blasphemer in Dante's ""The Inferno.""",
"Caparronia","Caparronia","Vesta",53.2,35.71,317.03,AA,"Roman vestal virgin (d. 266 B.C.).",
"Capella","Capella","Moon",48.13,-7.65,34.92,AA,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella A","Capella A","Moon",11.76,-7.68,37.18,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella B","Capella B","Moon",8.38,-9.47,36.87,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella C","Capella C","Moon",11.17,-5.76,36.39,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella D","Capella D","Moon",7.96,-6.79,37.53,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella E","Capella E","Moon",14.33,-7.53,37.7,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella F","Capella F","Moon",13.58,-9.22,35.42,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella G","Capella G","Moon",11.02,-6.86,36.92,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella H","Capella H","Moon",8.94,-8.17,37.38,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella J","Capella J","Moon",8.93,-9.5,36.06,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella M","Capella M","Moon",11.8,-4.47,36.95,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella R","Capella R","Moon",7.28,-6.05,35.21,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capella T","Capella T","Moon",5.72,-6.94,34.18,SF,"Martianus; Roman astronomer (c. A.D. 400-unkn).",
"Capen","Capen","Mars",68.99,6.58,14.31,AA,"Charles F., Jr; American astronomer (1926-1986).",
"Capote","Capote","Mercury",88,-21.1,72.41,AA,"Truman; American author (1924-1984).",
"Capri Chasma","Capri Chasma","Mars",1471.56,-8.27,317.93,CM,"Classical albedo feature name.",
"Capri Mensa","Capri Mensa","Mars",282.35,-13.73,312.81,MN,"Classical albedo feature name.",
"Capri Montes","Capri Montes","Mars",265,-19.2,300.28,MO,"Classical albedo feature, Capri Cornu.",
"Capuanus","Capuanus","Moon",59.69,-34.09,333.27,AA,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus A","Capuanus A","Moon",12.98,-34.69,334.3,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus B","Capuanus B","Moon",10.79,-34.32,332.27,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus C","Capuanus C","Moon",10.31,-34.88,334.69,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus D","Capuanus D","Moon",20.99,-36.44,333.68,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus E","Capuanus E","Moon",28.37,-37.54,332.83,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus F","Capuanus F","Moon",6.97,-36.97,333.29,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus H","Capuanus H","Moon",4.4,-39.4,332.73,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus K","Capuanus K","Moon",8.15,-37.91,333.44,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus L","Capuanus L","Moon",11.45,-38.34,333.59,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus M","Capuanus M","Moon",6.37,-37.5,334.32,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Capuanus P","Capuanus P","Moon",68.52,-35.44,331.41,SF,"Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).",
"Caralis Chaos","Caralis Chaos","Mars",103.35,-37.2,178.6,CH,"After Caralis Fons, classical albedo feature named after Caralis Lacus, now Beysehir Gölü, in Isauria (Asia Minor).",
"Caral Vallis","Caral Vallis","Mercury",64,62.66,129.29,VA,"Ancient city in the Supe Valley, Peru.",
"Carancho Patera","Carancho Patera","Io",30.61,1.52,42.72,PE,"Bolivian legendary hero who received fire from an owl.",
"Caravaggio","Caravaggio","Mercury",185,3.18,87.24,AA,"Michelangelo Merisi; Italian painter (1571-1610).",
"Carcassone Montes","Carcassone Montes","Iapetus",740,0,143.3,MO,"Town in southern France sacked by Roland.  ",
"Cardanus","Cardanus","Moon",49.57,13.27,287.5,AA,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus B","Cardanus B","Moon",13.18,11.45,286.04,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus C","Cardanus C","Moon",13.65,11.18,283.7,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus E","Cardanus E","Moon",6.42,12.8,289.2,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus G","Cardanus G","Moon",7.61,11.51,284.96,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus K","Cardanus K","Moon",7.9,14.12,282.96,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus M","Cardanus M","Moon",8.88,14.9,282.69,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardanus R","Cardanus R","Moon",20.99,12.25,286.5,SF,"Cardano, Girolamo; Italian mathematician (1501-1576).",
"Cardiel Lacus","Cardiel Lacus","Titan",22,70.2,153.5,LC,"Lake in Argentina.",
"Cardona","Cardona","Mars",13.7,-19.65,328.02,AA,"Town in Uruguay.",
"Carducci","Carducci","Mercury",108.19,-36.54,269.61,AA,"Giosue; Italian poet (1835-1907).",
"Carleton","Carleton","Mercury",177,-52.2,56.6,AA,"William; Irish writer (1794-1869).",
"Carlini","Carlini","Moon",10.66,33.75,335.88,AA,"Francesco; Italian astronomer (1783-1862).",
"Carlini A","Carlini A","Moon",6.61,35.36,333.36,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini C","Carlini C","Moon",3.54,35.1,337.11,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini D","Carlini D","Moon",8.95,32.98,343.97,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini E","Carlini E","Moon",1.28,31.59,339.5,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini G","Carlini G","Moon",3.81,32.63,334.94,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini H","Carlini H","Moon",3.61,32.43,335.53,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini K","Carlini K","Moon",3.46,31.08,336.28,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini L","Carlini L","Moon",2.95,31.31,335.17,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlini S","Carlini S","Moon",4.11,37.91,332.76,SF,"Francesco; Italian astronomer (1783-1862).",
"Carlos","Carlos","Moon",4.67,24.91,2.28,AA,"Spanish male name.",
"Carlsbad","Carlsbad","Gaspra",0.5,29.7,271.2,AA,"Spa in Czech Republic.",
"Carmenta Farra","Carmenta Farra","Venus",180,12.4,8,FR,"Roman goddess of springs.",
"Carmichael","Carmichael","Moon",19.73,19.53,40.36,AA,"Leonard; American psychologist (1898-1973).",
"Carnegie Rupes","Carnegie Rupes","Mercury",267,58.52,306.75,RU,"American; iron-free vessel used to conduct magnetic surveys from 1909 to 1928.",
"Carnot","Carnot","Moon",126.06,52.09,215.8,AA,"Nicolas-Léonard Sadi; French physicist (1796-1832).",
"Carnot F","Carnot F","Moon",34.2,52.15,220.78,SF,"Nicolas-Léonard Sadi; French physicist (1796-1832).",
"Carol","Carol","Moon",6.25,8.48,122.37,AA,"Latin female name.",
"Carolan","Carolan","Mercury",24.34,83.88,31.77,AA,"Turlough; Alternate spelling O’Carolan; Irish composer and performer (1670-1738).",
"Caroline","Caroline","Venus",18,6.9,306.3,AA,"First name from French.",
"Carpenter","Carpenter","Moon",59.06,69.52,308.77,AA,"James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).",
"Carpenter T","Carpenter T","Moon",9.38,70.28,301.31,SF,"James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).",
"Carpenter U","Carpenter U","Moon",25.08,70.61,302.92,SF,"James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).",
"Carpenter V","Carpenter V","Moon",5.76,71.91,305.32,SF,"James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).",
"Carpenter W","Carpenter W","Moon",9.62,72.37,299.76,SF,"James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).",
"Carpenter Y","Carpenter Y","Moon",7.93,71.86,296.98,SF,"James; British astronomer (1840-1899); Edwin Francis; American astronomer (1898-1963).",
"Carpo Corona","Carpo Corona","Venus",215,-37.5,3,CR,"Greek fertility goddess.",
"Carr","Carr","Venus",31.9,-24,295.7,AA,"Emily; Canadian artist (1871-1945).",
"Carrel","Carrel","Moon",15.59,10.67,26.68,AA,"Alexis; French doctor, physiologist; Nobel laureate (1873-1944).",
"Carreno","Carreno","Venus",57,-3.9,16.1,AA,"Teresa; Venezuelan pianist, composer (1853-1917).",
"Carrillo","Carrillo","Moon",17.85,-2.11,80.96,AA,"Flores Nabor; Mexican soil engineer (1911-1967).",
"Carrington","Carrington","Moon",27.77,43.97,62.04,AA,"Richard Christopher; British astronomer (1826-1875).",
"Carson","Carson","Venus",38.8,-24.2,344.1,AA,"Rachel; American biologist, author (1907-1964).",
"Cartago","Cartago","Mars",36.57,-23.25,342.03,AA,"Town in Costa Rica.",
"Cartan","Cartan","Moon",15.62,4.24,59.29,AA,"Elie-Joseph; French mathematician (1869-1951).",
"Carter","Carter","Venus",17.5,5.3,67.3,AA,"Maybelle; American singer, songwriter (1909-1978).",
"Carthage Fossae","Carthage Fossae","Dione",500,11.93,23.25,FO,"A Punic (Phoenician) city in North Africa.",
"Caruso","Caruso","Mercury",31,-2.33,283.64,AA,"Enrico; Italian singer (1873-1921).",
"Carver","Carver","Moon",62.45,-43.46,127.6,AA,"George Washington; American botanist (1864-1943).",
"Carver L","Carver L","Moon",24.61,-45.78,128.8,SF,"George Washington; American botanist (1864-1943).",
"Carver M","Carver M","Moon",80.42,-45.66,127.43,SF,"George Washington; American botanist (1864-1943).",
"Casanova","Casanova","Eros",0.9,46.6,124,AA,"Giovanni; Italian adventurer, lover and author (1725-1798).",
"Casatus","Casatus","Moon",102.85,-72.7,329.25,AA,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus A","Casatus A","Moon",54.64,-72.68,322.37,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus C","Casatus C","Moon",17.36,-72.25,329.71,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus D","Casatus D","Moon",37.66,-76.89,316.7,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus E","Casatus E","Moon",44.3,-77.25,306.03,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus H","Casatus H","Moon",35.67,-72.11,338.6,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus J","Casatus J","Moon",20.45,-74.35,327.06,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Casatus K","Casatus K","Moon",35.67,-74.8,319.3,SF,"Casati, Paolo; Italian mathematician (1617-1707).",
"Cashmere Sulci","Cashmere Sulci","Enceladus",260,-52.07,63.94,SU,"City in ""The Goldsmith and the Cashmere Singing Girl.""",
"Casius","Casius","Mars",0,39.67,100,AL,"Epithet of Zeus; for his two sanctuaries in Egypt/Arabia and Syria.",
"Cassandra","Cassandra","Dione",13,-39.84,113.78,AA,"Daughter of Priam; she could foretell the future.",
"Cassatt Corona","Cassatt Corona","Venus",152,65.6,207.6,CR,"Mary; American Impressionist painter (1844-1926). Name changed from Cassatt Patera.",
"Cassegrain","Cassegrain","Moon",56.66,-51.95,113.3,AA,"Laurent; French astronomer, doctor (1629-1693).",
"Cassegrain B","Cassegrain B","Moon",26.97,-49.57,114.64,SF,"Laurent; French astronomer, doctor (1629-1693).",
"Cassegrain H","Cassegrain H","Moon",29.84,-52.84,115.66,SF,"Laurent; French astronomer, doctor (1629-1693).",
"Cassegrain K","Cassegrain K","Moon",16.42,-54.45,113.88,SF,"Laurent; French astronomer, doctor (1629-1693).",
"Cassini","Cassini","Moon",56.88,40.25,4.64,AA,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini","Cassini","Mars",408.23,23.35,32.11,AA,"Giovanni; Italian astronomer (1625-1712).",
"Cassini A","Cassini A","Moon",16.76,40.51,4.78,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini B","Cassini B","Moon",9.42,40.02,3.87,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini C","Cassini C","Moon",13.79,41.76,7.8,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini E","Cassini E","Moon",9.45,42.98,7.34,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini F","Cassini F","Moon",6.72,40.92,7.28,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini G","Cassini G","Moon",4.72,44.73,5.46,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini K","Cassini K","Moon",3.47,45.19,4.09,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini L","Cassini L","Moon",6.14,43.99,4.41,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini M","Cassini M","Moon",7.85,41.38,3.75,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini P","Cassini P","Moon",3.37,44.83,1.86,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini Regio","Cassini Regio","Iapetus",0,-28.1,267.4,RE,"Italian-French astronomer who discovered Iapetus in 1671, Rhea in 1672, Tethys and Dione in 1684 (1625-1712).",
"Cassini W","Cassini W","Moon",5.46,42.35,4.25,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini X","Cassini X","Moon",4.4,44.06,8.08,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini Y","Cassini Y","Moon",3.55,41.98,2.16,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Cassini Z","Cassini Z","Moon",4.69,43.48,2.38,SF,"Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).",
"Castalia Macula","Castalia Macula","Europa",35,-1.6,134.3,MA,"Greek; spring where Cadmus, brother of Europa, killed the dragon.",
"Castellana","Castellana","Ida",5.2,-13.4,335.2,AA,"Cave in Puglia region, Italy.",
"Castiglione","Castiglione","Mercury",80,-40.87,87.96,AA,"Giuseppe; Italian painter in the court of the Emperor of China (1688-1766).",
"Castor","Castor","Janus",0,0,360,AA,"One of the Dioscuri; famous as a tamer of horses.",
"Castril","Castril","Mars",2.19,-14.7,175.3,AA,"Town in Spain.",
"Castro","Castro","Venus",22.9,3.4,233.9,AA,"Rosalie; Spanish poet, novelist (1837-1885).",
"Catafo Saxum","Catafo Saxum","Ryugu",0.05,-5.5,0,SA,"Smart boy, who marked a trail in the woods with corn meal to know the way back, from Cajun (Southern USA) fairy tale.",
"Catalán","Catalan","Moon",26.77,-45.7,272.63,AA,"Miguel Antonio; Spanish spectroscopist (1894-1957).",
"Catalán A","Catalan A","Moon",21.18,-45.72,270.71,SF,"Miguel Antonio; Spanish spectroscopist (1894-1957).",
"Catalán B","Catalan B","Moon",13.75,-45.61,271.47,SF,"Miguel Antonio; Spanish spectroscopist (1894-1957).",
"Catalán U","Catalan U","Moon",19.31,-45.01,269.34,SF,"Miguel Antonio; Spanish spectroscopist (1894-1957).",
