Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Feature_Type_Code,Origin,
"Lebedinskiy B","Lebedinskiy B","Moon",37.49,9.99,196.51,SF,"Aleksandr I.; Soviet astrophysicist (1913-1967).",
"Lebedinskiy K","Lebedinskiy K","Moon",29.55,6.26,196.06,SF,"Aleksandr I.; Soviet astrophysicist (1913-1967).",
"Lebedinskiy P","Lebedinskiy P","Moon",49.7,5.75,194.36,SF,"Aleksandr I.; Soviet astrophysicist (1913-1967).",
"Lebesgue","Lebesgue","Moon",11.39,-5.14,88.97,AA,"Henri Leon; French mathematician (1875-1941).",
"Lebu","Lebu","Mars",19.34,-20.29,340.53,AA,"Town in Chile.",
"Lechuguilla","Lechuguilla","Ida",1.5,7.9,357.1,AA,"Cave in Carlsbad National Park, New Mexico.",
"Leda Planitia","Leda Planitia","Venus",2890,44,65.1,PL,"Mother of Helen, Castor.",
"Lederberg","Lederberg","Mars",87.25,13.01,314.08,AA,"Joshua; American molecular biologist (1925-2008).",
"Ledoux Patera","Ledoux Patera","Venus",75,-9.2,224.8,PE,"Jeanne; French artist (1767- 1840).",
"Lee","Lee","Moon",41.17,-30.66,319.24,AA,"John; British astronomer, humanitarian (1783-1866).",
"Lee A","Lee A","Moon",17.44,-31.5,318.76,SF,"John; British astronomer, humanitarian (1783-1866).",
"Lee H","Lee H","Moon",4.53,-30.85,321.15,SF,"John; British astronomer, humanitarian (1783-1866).",
"Lee M","Lee M","Moon",72.33,-29.83,320.3,SF,"John; British astronomer, humanitarian (1783-1866).",
"Lee S","Lee S","Moon",6.89,-30.83,317.04,SF,"John; British astronomer, humanitarian (1783-1866).",
"Lee T","Lee T","Moon",3.5,-30.05,317.9,SF,"John; British astronomer, humanitarian (1783-1866).",
"Leeuwenhoek","Leeuwenhoek","Moon",125,-29.28,181.13,AA,"Antony van; Dutch microscopist (1632-1723).",
"Leeuwenhoek E","Leeuwenhoek E","Moon",102.11,-28.51,183.73,SF,"Antony van; Dutch microscopist (1632-1723).",
"Legendre","Legendre","Moon",78.08,-28.92,70.02,AA,"Adrien Marie; French mathematician (1752-1833).",
"Legendre D","Legendre D","Moon",57.54,-31.6,75.15,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre E","Legendre E","Moon",26.08,-33.86,78.57,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre F","Legendre F","Moon",40.09,-33.66,76.12,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre G","Legendre G","Moon",16.61,-32.23,73.92,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre H","Legendre H","Moon",8.44,-32.44,78.17,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre J","Legendre J","Moon",12.49,-30.63,74.1,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre K","Legendre K","Moon",91.91,-29.79,72.21,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre L","Legendre L","Moon",31.06,-28.12,73.5,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre M","Legendre M","Moon",9.56,-28.17,71.61,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre N","Legendre N","Moon",5.82,-27.47,70.5,SF,"Adrien Marie; French mathematician (1752-1833).",
"Legendre P","Legendre P","Moon",6.99,-27.31,69.28,SF,"Adrien Marie; French mathematician (1752-1833).",
"Le Gentil","Le Gentil","Moon",125.38,-74.27,283.98,AA,"Guillaume Hyazinthe; French astronomer (1725-1792).",
"Le Gentil A","Le Gentil A","Moon",37,-74.63,307.37,SF,"Guillaume Hyazinthe; French astronomer (1725-1792).",
"Le Gentil B","Le Gentil B","Moon",15.72,-75.48,285.95,SF,"Guillaume Hyazinthe; French astronomer (1725-1792).",
"Le Gentil C","Le Gentil C","Moon",18.68,-74.36,284.72,SF,"Guillaume Hyazinthe; French astronomer (1725-1792).",
"Le Gentil D","Le Gentil D","Moon",12.38,-74.6,295.9,SF,"Guillaume Hyazinthe; French astronomer (1725-1792).",
"Le Gentil G","Le Gentil G","Moon",17.35,-71.74,300.88,SF,"Guillaume Hyazinthe; French astronomer (1725-1792).",
"Lehmann","Lehmann","Moon",53.85,-39.96,303.83,AA,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann","Lehmann","Venus",21.7,-44.1,39.1,AA,"Inge; Danish geophysicist (1888-1993).",
"Lehmann A","Lehmann A","Moon",29.64,-39.51,306.13,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann C","Lehmann C","Moon",15.08,-35.57,309.83,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann D","Lehmann D","Moon",12.08,-39.54,302.51,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann E","Lehmann E","Moon",44.88,-37.44,305.04,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann H","Lehmann H","Moon",13.81,-41.01,301.27,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann K","Lehmann K","Moon",5.58,-36.44,309.47,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Lehmann L","Lehmann L","Moon",5.85,-36.42,307.96,SF,"Jacob Heinrich Wilhelm; German astronomer (1800-1863).",
"Leibnitz","Leibnitz","Moon",236.67,-38.24,179.35,AA,"Gottfried Wilhelm; German mathematician, philosopher (1646-1716).",
"Leibnitz R","Leibnitz R","Moon",20.21,-39.57,176.34,SF,"Gottfried Wilhelm; German mathematician, philosopher (1646-1716).",
"Leibnitz S","Leibnitz S","Moon",30.4,-39.91,172.09,SF,"Gottfried Wilhelm; German mathematician, philosopher (1646-1716).",
"Leibnitz X","Leibnitz X","Moon",19.71,-36.72,177.43,SF,"Gottfried Wilhelm; German mathematician, philosopher (1646-1716).",
"Leida","Leida","Venus",18.8,-23.3,266.6,AA,"Estonian first name.",
"Leighton","Leighton","Mars",65.94,3.08,57.75,AA,"Robert B.; American physicist (1919-1997).",
"Lei-Kung Fluctus","Lei Kung Fluctus","Io",347.45,40.13,153.56,FL,"Chinese thunder god.",
"Leila","Leila","Venus",18.8,-44.2,86.8,AA,"First name from Arabic.",
"Leilah Fluctus","Leilah Fluctus","Titan",190,50.5,282.2,FL,"Persian goddess of beauty and chastity.",
"Leipter Sulci","Leipter Sulci","Triton",0,7,9,SU,"Norse sacred river.",
"Lei-zi Fluctus","Lei zi Fluctus","Io",176.92,13.48,315.07,FL,"Chinese goddess of thunder.",
"Leleque","Leleque","Mars",8.43,36.46,138.17,AA,"Town in Argentina.",
"Lemaître","Lemaitre","Moon",93.7,-61.36,210.02,AA,"Georges Henri Joseph Édouard; Belgian mathematician (1894-1966).",
"Lemaître C","Lemaitre C","Moon",26.64,-59.53,214.25,SF,"Georges Henri Joseph Édouard; Belgian mathematician (1894-1966).",
"Lemaître F","Lemaitre F","Moon",33.94,-61.51,211.47,SF,"Georges Henri Joseph Édouard; Belgian mathematician (1894-1966).",
"Lemaître S","Lemaitre S","Moon",34.51,-61.8,203.19,SF,"Georges Henri Joseph Édouard; Belgian mathematician (1894-1966).",
"Lemgo","Lemgo","Mars",15.73,-42.5,325.21,AA,"Town in Germany.",
"Lemkechen Dorsa","Lemkechen Dorsa","Venus",2000,18.5,68.5,DO,"Berber pole star goddess, holds camel motionless to milk it.",
"Le Monnier","Le Monnier","Moon",68.4,26.66,30.5,AA,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier A","Le Monnier A","Moon",20.87,26.83,32.49,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier H","Le Monnier H","Moon",4.7,24.97,29.62,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier K","Le Monnier K","Moon",4.02,27.75,30.26,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier S","Le Monnier S","Moon",38.32,26.78,33.78,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier T","Le Monnier T","Moon",16.21,25.17,31.46,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier U","Le Monnier U","Moon",25.14,26.11,33.41,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Le Monnier V","Le Monnier V","Moon",23.1,26.03,34.25,SF,"Pierre Charles; French astronomer, physicist (1715-1799).",
"Lempo","Lempo","Callisto",41.3,-25.2,40.1,AA,"Finno-Ugric evil spirit.",
"Lemuria","Lemuria","Mars",0,69.78,160,AL,"Designation of purported drowned continent south of India; also relates to lemur monkeys found on Madagascar and Sunda Islands.",
"Lena","Lena","Venus",15.2,39.5,23,AA,"Russian first name.",
"Lengdin Corona","Lengdin Corona","Venus",525,2.5,223,CR,"Chinese Earth goddess.",
"L’Engle","L’Engle","Mercury",62,-86.63,69.62,AA,"Madeleine; American author (1918-2007).",
"Lennon","Lennon","Mercury",95,-36.41,41.18,AA,"John Winston; English singer and songwriter (1940-1980).",
"Lenore","Lenore","Venus",15.5,38.7,292.2,AA,"Greek first name (form of Helen).",
"Lents (Lenz)","Lents  Lenz ","Moon",21.98,2.72,257.7,AA,"Heinrich Friedrich Emil; Russian physicist (1804-1865). ",
"Lents (Lenz) C","Lents  Lenz  C","Moon",23.29,3.28,258.23,SF,"Heinrich Friedrich Emil; Russian physicist (1804-1865). ",
