OC,00 47 30.00,+85 15 30.0,,,+8.10,,,,II2r,15.00,,,C 1,NGC 188,
OC,06 32 19.00,+04 51 24.0,,,+4.80,+5.30,,,II3p,24.00,,,Rosette Nebula,C 50,NGC 2239,NGC 2244,
GX,01 04 47.50,+02 07 07.0,,,+9.20,+9.90,7.400E+05,-234.2,IBm,16.60,14.90,50.0,C 51,IC 1613,UGC 668,
GX,12 48 35.80,-05 47 60.0,,,+9.20,+10.10,1.165E+07,+1238.6,E6,7.20,4.70,70.0,C 52,NGC 4697,UGCA 300,
GX,10 05 14.10,-07 43 05.0,,,+8.90,+9.90,1.007E+07,+662.4,E-S0,7.20,2.40,40.0,Spindle Galaxy,C 53,NGC 3115,UGCA 199,
OC,08 00 01.70,-10 46 11.0,,,+7.60,,,,I2r,12.00,,,C 54,NGC 2506,
PN,21 04 10.80,-11 21 47.0,,,+8.00,+8.30,,,PN,0.58,,,Saturn Nebula,C 55,NGC 7009,
PN,00 47 03.30,-11 52 17.0,,,+10.90,+8.00,,,PN,4.08,,,C 56,NGC 246,
GX,19 44 56.60,-14 48 23.0,,,+8.70,+9.30,5.000E+05,-57.0,IBm,15.40,14.20,5.0,Barnard's Galaxy,C 57,NGC 6822,IC 4895,
OC,07 17 43.10,-15 38 29.0,,,+7.20,,,,II2m,14.00,,,C 58,NGC 2360,
PN,10 24 46.10,-18 38 31.0,,,+7.70,+8.60,,,PN,1.07,,,Ghost of Jupiter,C 59,NGC 3242,
GX,12 01 52.80,-18 51 52.0,,,+10.30,+10.90,2.088E+07,+1637.5,SBm,3.40,1.70,94.0,Antennae,C 60,NGC 4038,UGCA 264,
GX,12 01 53.80,-18 53 08.0,,,+10.30,+10.90,2.088E+07,+1636.6,SBm,3.30,1.70,55.0,Antennae,C 61,NGC 4039,UGCA 265,
GX,00 47 08.30,-20 45 36.0,,,+9.10,+9.70,3.590E+06,+155.9,SBcd,19.20,5.50,172.0,C 62,NGC 247,UGCA 11,
PN,22 29 38.40,-20 50 11.0,,,+7.30,+7.50,,,PN,17.57,,,Helix Nebula,C 63,NGC 7293,
OC,07 18 41.40,-24 57 15.0,,,+3.80,,,,I3p,6.00,,,C 64,NGC 2362,
GX,00 47 33.10,-25 17 15.0,,,+7.20,+8.00,3.140E+06,+243.0,SBc,29.00,6.80,52.0,Sculptor Galaxy,Silver Dollar Galaxy,C 65,NGC 253,UGCA 13,
GC,14 39 36.50,-26 32 16.0,,,+10.20,,,,VII,4.30,,,C 66,NGC 5694,
GX,02 46 19.50,-30 16 32.0,,,+9.50,+10.20,2.004E+07,+1268.4,SBb,9.40,6.60,130.0,C 67,NGC 1097,UGCA 41,
BN,19 01 55.30,-36 57 28.0,,,,,,,EN+RN,25.00,20.00,,C 68,NGC 6729,
PN,17 13 44.10,-37 06 12.0,,,+9.60,+12.80,,,PN,1.48,,,Bug Nebula,C 69,NGC 6302,
GX,00 54 53.30,-37 41 03.0,,,+8.10,+8.70,1.970E+06,+143.9,Scd,19.00,12.90,111.0,C 70,NGC 300,
OC,07 52 10.00,-38 31 48.0,,,+5.80,,,,I3r,20.00,,,C 71,NGC 2477,
GX,00 15 08.00,-39 13 10.0,,,+7.90,+8.40,1.940E+06,+128.9,SBm,31.20,5.90,108.0,C 72,NGC 55,
GC,05 14 06.30,-40 02 48.0,,,+7.10,,,,II,12.00,,,C 73,NGC 1851,
PN,10 07 01.80,-40 26 10.0,,,+9.20,+8.20,,,PN,1.47,,,Eight Burst Nebula,C 74,NGC 3132,
OC,16 25 17.20,-40 40 01.0,,,+5.80,,,,II3m,40.00,,,C 75,NGC 6124,
OC,16 54 09.80,-41 49 30.0,,,+2.60,+2.80,,,I3p,14.00,,,C 76,NGC 6231,
GX,13 25 29.00,-43 00 58.0,,,+6.80,+7.80,3.660E+06,+546.6,S0/P,25.70,20.00,35.0,Centaurus A,C 77,NGC 5128,
GC,18 08 02.20,-43 42 40.0,,,+6.30,,,,III,15.00,,,C 78,NGC 6541,
GC,10 17 36.80,-46 24 38.0,,,+6.90,,,,X,20.00,,,C 79,NGC 3201,
GC,13 26 47.00,-47 28 51.0,,,+5.30,+6.10,,,VIII,55.00,,,Omega Centauri,C 80,NGC 5139,
GC,17 25 29.20,-48 25 20.0,,,+7.80,,,,XI,9.00,,,C 81,NGC 6352,
OC,16 41 20.30,-48 45 48.0,,,+5.20,,,,II3p,14.00,,,C 82,NGC 6193,
GX,13 05 26.10,-49 27 46.0,,,+8.40,+9.30,3.980E+06,+562.5,SBc,19.80,4.00,43.0,C 83,NGC 4945,
GC,13 46 26.50,-51 22 22.0,,,+7.40,,,,V,11.00,,,C 84,NGC 5286,
OC,08 40 18.00,-52 54 60.0,,,+2.60,,,,II3p,60.00,,,Omicron Velorum Custer,C 85,IC 2391,
GC,17 40 41.30,-53 40 23.0,,,+5.30,,,,IX,31.00,,,C 86,NGC 6397,
GC,03 12 15.30,-55 12 59.0,,,+8.30,,,,II,6.80,,,C 87,NGC 1261,
OC,15 05 30.50,-55 36 13.0,,,+7.90,,,,III2m,12.00,,,C 88,NGC 5823,
OC,16 18 51.80,-57 53 59.0,,,+5.40,,,,I2p,15.00,,,C 89,NGC 6087,
PN,09 21 25.40,-58 18 40.0,,,+9.70,+9.70,,,PN,0.40,,,C 90,NGC 2867,
OC,11 05 40.00,-58 44 00.0,,,+3.00,+3.20,,,II1m,50.00,,,Wishing Well Cluster,C 91,NGC 3532,
BN,10 45 06.00,-59 52 00.0,,,,+3.00,,,EN,120.00,120.00,,Eta Carinae Nebula,C 92,NGC 3372,
GC,19 10 51.80,-59 58 53.0,,,+5.30,,,,VI,29.00,,,C 93,NGC 6752,
OC,12 53 39.00,-60 21 42.0,,,+4.20,,,,I3r,10.00,,,Jewel Box,Kappa Crucis Cluster,C 94,NGC 4755,
OC,16 03 17.70,-60 25 53.0,,,+5.10,,,,II2p,15.00,,,C 95,NGC 6025,
OC,07 58 04.00,-60 45 12.0,,,+3.80,+3.80,,,I3r,22.00,,,C 96,NGC 2516,
OC,11 36 14.30,-61 36 36.0,,,+5.30,,,,I1p,15.00,,,Pearl Cluster,C 97,NGC 3766,
OC,12 42 19.80,-62 59 38.0,,,+6.90,,,,II1p,6.00,,,C 98,NGC 4609,
BN,11 35 47.30,-63 01 11.0,,,,+4.50,,,EN,40.00,20.00,,Lambda Centauri Nebula,Running Chicken Nebula,C 100,IC 2944,
GX,19 09 46.10,-63 51 24.0,,,+8.50,+9.10,9.500E+06,+839.7,SBbc,20.10,12.90,15.0,C 101,NGC 6744,
OC,10 42 56.50,-64 23 39.0,,,+1.60,,,,II3m,100.00,,,Southern Pleiades,Theta Carinae Cluster,C 102,IC 2602,
BN,05 38 42.50,-69 06 03.0,,,,+5.00,,,EN,30.00,20.00,,Tarantula Nebula,C 103,NGC 2070,
GC,01 03 14.30,-70 50 52.0,,,+6.80,,,,III,14.00,,,C 104,NGC 362,
GC,12 59 35.00,-70 52 27.0,,,+8.40,,,,VIII,14.00,,,C 105,NGC 4833,
GC,00 24 05.20,-72 04 49.0,,,+4.00,,,,III,50.00,,,47 Tucanae,47 Tuc,C 106,NGC 104,
GC,16 25 48.60,-72 12 04.0,,,+9.20,,,,X,5.00,,,C 107,NGC 6101,
GC,12 25 45.40,-72 39 31.0,,,+7.20,,,,XII,5.00,,,C 108,NGC 4372,
PN,10 09 21.10,-80 51 29.0,,,+11.60,+11.50,,,PN,0.70,0.50,,C 109,NGC 3195,
