305.971,40.075,16
306.086,40.114,16
306.129,40.161,16
306.235,40.200,16
306.296,40.150,16
306.387,40.070,16
306.522,40.035,16
306.607,40.098,16
306.684,40.192,16
306.833,40.357,16
306.944,40.490,16
307.022,40.592,16
306.994,40.641,16
306.908,40.627,16
306.825,40.620,16
306.805,40.677,16
306.766,40.781,16
306.674,40.888,16
306.611,40.945,16
306.506,41.011,16
306.391,40.980,16
306.337,40.908,16
306.345,40.781,16
306.374,40.701,16
306.413,40.644,16
306.434,40.579,16
306.361,40.541,16
306.203,40.551,16
306.150,40.640,16
306.131,40.766,16
306.030,40.904,16
305.885,40.987,16
305.726,41.003,16
305.577,41.046,16
305.506,41.037,16
305.408,41.014,16
305.399,40.870,16
305.375,40.733,16
305.395,40.663,16
305.552,40.678,16
305.718,40.589,16
305.759,40.477,16
305.643,40.405,16
305.464,40.384,16
305.305,40.345,16
305.222,40.297,16
305.075,40.258,16
304.992,40.306,16
304.972,40.409,16
304.939,40.484,16
304.962,40.539,16
305.046,40.536,16
305.109,40.595,16
305.152,40.659,16
305.100,40.775,16
305.059,40.824,16
304.922,40.922,16
304.732,41.002,16
304.595,41.009,16
304.521,40.936,16
304.521,40.865,16
304.456,40.857,16
304.246,40.945,16
304.130,40.999,16
304.013,41.032,16
303.897,40.999,16
303.792,41.022,16
303.716,41.078,16
303.664,41.165,16
303.693,41.222,16
303.767,41.269,16
326.098,58.948,17
326.030,58.955,17
325.945,58.955,17
325.821,58.943,17
325.764,58.931,17
325.707,58.915,17
325.652,58.897,17
325.582,58.844,17
325.500,58.776,17
325.510,58.710,17
325.507,58.647,17
325.412,58.588,17
325.271,58.542,17
325.094,58.514,17
324.925,58.545,17
324.811,58.605,17
324.736,58.645,17
324.642,58.687,17
324.612,58.687,17
324.519,58.673,17
324.380,58.645,17
324.263,58.630,17
324.134,58.606,17
324.113,58.591,17
324.076,58.575,17
324.019,58.591,17
323.930,58.589,17
323.789,58.575,17
323.656,58.524,17
323.542,58.476,17
323.416,58.421,17
323.323,58.371,17
323.297,58.322,17
323.290,58.252,17
323.196,58.201,17
323.117,58.139,17
323.014,58.100,17
322.932,58.033,17
322.849,57.979,17
322.808,57.930,17
322.778,57.783,17
322.782,57.670,17
322.797,57.580,17
322.801,57.508,17
322.765,57.468,17
322.600,57.450,17
322.500,57.480,17
322.398,57.472,17
322.347,57.417,17
322.342,57.346,17
322.332,57.262,17
322.323,57.193,17
322.369,57.120,17
322.381,57.106,17
322.478,56.993,17
322.662,56.898,17
322.828,56.797,17
322.964,56.746,17
323.136,56.690,17
323.260,56.631,17
323.271,56.606,17
323.290,56.541,17
323.336,56.479,17
323.426,56.412,17
323.487,56.380,17
323.657,56.287,17
323.749,56.223,17
323.953,56.110,17
324.102,56.022,17
324.216,55.963,17
324.460,55.940,17
324.708,55.955,17
324.918,55.957,17
325.267,55.976,17
325.601,56.036,17
325.892,56.121,17
326.221,56.159,17
326.495,56.197,17
326.634,56.294,17
326.722,56.416,17
326.791,56.537,17
326.821,56.669,17
326.830,56.815,17
326.861,56.913,17
326.859,57.006,17
326.852,57.143,17
326.855,57.215,17
326.887,57.255,17
326.932,57.285,17
327.110,57.377,17
327.149,57.480,17
327.076,57.604,17
327.031,57.670,17
326.943,57.685,17
326.854,57.722,17
326.759,57.788,17
326.704,57.833,17
326.634,57.902,17
326.647,57.920,17
326.696,57.934,17
326.750,57.938,17
326.825,57.943,17
326.913,57.995,17
326.945,58.072,17
326.925,58.157,17
326.945,58.211,17
327.040,58.246,17
327.231,58.321,17
327.210,58.409,17
327.132,58.451,17
327.078,58.492,17
326.971,58.568,17
326.865,58.648,17
326.741,58.730,17
326.604,58.810,17
326.463,58.867,17
326.325,58.909,17
326.229,58.939,17
326.117,58.948,17
36.787,62.031,18
36.763,62.007,18
36.724,61.979,18
36.701,61.955,18
36.681,61.936,18
36.670,61.909,18
36.723,61.902,18
36.823,61.908,18
36.902,61.895,18
36.895,61.910,18
36.963,61.934,18
36.977,61.963,18
36.996,61.991,18
37.025,62.017,18
37.120,62.039,18
37.190,62.028,18
37.233,62.004,18
37.310,61.984,18
37.282,62.022,18
37.236,62.066,18
37.204,62.093,18
37.114,62.132,18
37.030,62.143,18
36.960,62.158,18
36.902,62.183,18
36.841,62.203,18
36.848,62.225,18
36.871,62.245,18
36.875,62.283,18
36.820,62.308,18
36.721,62.320,18
36.658,62.335,18
36.625,62.317,18
36.577,62.312,18
36.537,62.346,18
36.523,62.375,18
36.464,62.369,18
36.412,62.346,18
36.389,62.305,18
36.411,62.264,18
36.471,62.238,18
36.522,62.233,18
36.563,62.262,18
36.615,62.262,18
36.644,62.246,18
36.655,62.221,18
36.654,62.193,18
36.656,62.177,18
36.676,62.165,18
36.703,62.145,18
36.735,62.121,18
36.766,62.098,18
36.776,62.068,18
36.787,62.040,18
39.476,61.015,19
39.467,61.049,19
39.435,61.091,19
39.419,61.124,19
39.420,61.149,19
39.437,61.153,19
39.519,61.164,19
39.607,61.196,19
39.647,61.223,19
39.668,61.262,19
39.638,61.281,19
39.491,61.302,19
39.381,61.313,19
39.311,61.317,19
39.324,61.346,19
39.293,61.358,19
39.370,61.372,19
39.384,61.369,19
39.503,61.386,19
39.594,61.425,19
39.704,61.468,19
39.793,61.505,19
39.905,61.541,19
40.049,61.603,19
40.169,61.636,19
40.252,61.679,19
40.325,61.707,19
40.426,61.747,19
40.398,61.794,19
40.473,61.843,19
40.576,61.884,19
40.691,61.930,19
40.804,61.984,19
40.900,62.037,19
41.057,62.101,19
41.114,62.187,19
41.064,62.235,19
41.017,62.253,19
40.923,62.228,19
40.850,62.211,19
40.660,62.151,19
40.485,62.080,19
40.316,62.017,19
40.171,61.948,19
40.068,61.875,19
40.027,61.795,19
40.030,61.736,19
40.022,61.654,19
39.928,61.625,19
39.810,61.614,19
39.719,61.635,19
39.728,61.672,19
39.771,61.702,19
39.821,61.757,19
39.722,61.772,19
39.662,61.808,19
39.580,61.841,19
39.484,61.842,19
39.402,61.859,19
39.311,61.871,19
39.280,61.831,19
39.260,61.867,19
39.208,61.887,19
39.074,61.895,19
38.956,61.934,19
38.864,61.946,19
38.802,61.990,19
38.692,62.004,19
38.550,61.995,19
38.375,61.998,19
38.203,62.002,19
38.063,61.997,19
37.867,61.986,19
37.707,61.974,19
37.556,61.960,19
37.486,61.945,19
37.547,61.930,19
37.680,61.913,19
37.811,61.914,19
37.974,61.899,19
38.143,61.894,19
38.250,61.866,19
38.297,61.850,19
38.368,61.880,19
38.435,61.885,19
38.462,61.860,19
